sent,retrans
8158,833430
8913,926935
6225,590836
7540,701121
8590,846059
6103,573696
6208,603937
7487,623385
8384,832126
8904,1022486
6531,654039
8919,1058620
6204,617538
9040,928855
6143,553115
8957,1032626
7892,960716
6346,654122
8644,1089309
8283,871349
8057,808418
7736,811655
6439,719571
7715,866001
8967,1060370
6459,718084
6130,640418
8409,894695
8243,875515
6044,535303
