sent,retrans
7297,173323
7869,157936
5848,109170
7054,129335
5543,106164
6850,112081
7862,132167
6847,112747
7249,126315
7202,102479
5562,94474
6956,137572
5666,104556
5588,96958
5886,96617
5581,96355
5840,107233
7377,212191
5900,114467
7369,159612
7830,146808
5578,98434
5586,106080
7685,125792
6771,108959
5863,103905
5578,107382
5598,101825
5594,95893
5654,104003
